,ID,AEP_MW
518,,
519,,
520,,
521,,
522,,
523,,
524,,
525,,
526,,
527,,
528,,
529,,
530,,
531,,
532,,
533,,
534,,127.72245169078235
535,,144.2454205826178
536,,1682.5821751681979
537,,7327.272952857971
538,,6587.969076865193
539,,1593.7835627210072
540,,346.6642866272422
541,,
542,,
543,,
544,,
545,,
546,,
547,,
548,,
549,,
550,,
551,,
552,,
553,,
554,,
555,,
556,,
557,,
558,,127.80551424927269
559,,144.33922862909282
560,,1683.6764195902988
561,,7332.038145117942
562,,6592.253472909395
563,,1594.8200581738192
564,,346.88973502886074
565,,
566,,
567,,
568,,
569,,
570,,
571,,
572,,
573,,
574,,
575,,
576,,
577,,
578,,
579,,
580,,
581,,
582,,127.88857680776306
583,,144.4330366755678
584,,1684.7706640124002
585,,7336.803337377914
586,,6596.5378689535955
587,,1595.856553626631
588,,347.1151834304793
589,,
590,,
591,,
592,,
593,,
594,,
595,,
596,,
597,,
598,,
599,,
600,,
601,,
602,,
603,,
604,,
605,,
606,,127.97163936625341
607,,144.52684472204282
608,,1685.8649084345016
609,,7341.568529637887
610,,6600.822264997799
611,,1596.8930490794428
612,,347.3406318320979
613,,
614,,
615,,
616,,
617,,
618,,
619,,
620,,
621,,
622,,
623,,
624,,
625,,
626,,
627,,
628,,
629,,
630,,128.05470192474377
631,,144.6206527685178
632,,1686.9591528566027
633,,7346.333721897859
634,,6605.106661042
635,,1597.9295445322546
636,,347.5660802337165
637,,
638,,
639,,
640,,
641,,
642,,
643,,
644,,
645,,
646,,
647,,
648,,
649,,
650,,
651,,
652,,
653,,
654,,128.13776448323412
655,,144.7144608149928
656,,1688.0533972787039
657,,7351.09891415783
658,,6609.391057086202
659,,1598.9660399850663
660,,347.79152863533506
661,,
662,,
663,,
664,,
665,,
666,,
667,,
668,,
669,,
670,,
671,,
672,,
673,,
674,,
675,,
676,,
677,,
678,,128.22082704172448
679,,144.8082688614678
680,,1689.1476417008053
681,,7355.864106417803
682,,6613.675453130405
683,,1600.0025354378786
684,,348.0169770369537
685,,
686,,
687,,
688,,
689,,
690,,
691,,
692,,
693,,
694,,
695,,
696,,
697,,
698,,
699,,
700,,
701,,
702,,128.3038896002148
703,,144.90207690794279
704,,1690.2418861229066
705,,7360.629298677775
706,,6617.959849174606
707,,1601.0390308906904
708,,348.24242543857224
709,,
710,,
711,,
712,,
713,,
714,,
715,,
716,,
717,,
718,,
719,,
720,,
721,,
722,,
723,,
724,,
725,,128.38695215870518
726,,144.9958849544178
727,,1691.3361305450076
728,,7365.394490937746
729,,6622.244245218808
730,,1602.0755263435021
731,,348.46787384019075
732,,
733,,
734,,
735,,
736,,
737,,
738,,
739,,
740,,
741,,
742,,
743,,
744,,
745,,
746,,
747,,
748,,
749,,128.47001471719554
750,,145.0896930008928
751,,1692.4303749671092
752,,7370.1596831977195
753,,6626.52864126301
754,,1603.1120217963144
755,,348.69332224180937
756,,
757,,
758,,
759,,
760,,
761,,
762,,
763,,
764,,
765,,
766,,
767,,
768,,
769,,
770,,
771,,
772,,
